id,review,platform,date,score
PSX-Sense.nl,"Hopefully not the last great game of this generation, but definitely one of the best of them. Nobody should miss out on this jaw-dropping masterpiece of epic proportions.",ps3,2013-06-05,95
LaPS4,"Naughty Dog puts an end to the current generation with a game that explores the human interaction of two characters, Joel and Ellie, that are destined to get along in a shattered world that has been wonderfully represented thanks to its impressive technical aspects. The Last of Us, in spite of its small imperfections, is an adult title that no PS3 player should let go unplayed.",ps3,2013-06-05,95
JeuxActu,"With The Last of Us, Naughty Dog provides us with a hell of a masterpiece, which will continue to occupy the thoughts of gamers in the coming years, simply because it redefines the standards of survival Horror games. Instead of using and abusing horrific scenes as is the case with the competitors, the game provides a chronic stress that chews on your brains bit by bit punctuated by great epic scenes. The infected people are relentless and unforgiving, though a bit like the Clickers who will rip your head at the slightest sound. The listening system does not impact the challenge and finds itself an invaluable asset when things get really dirty. As one needs to seduce casual gamers, The Last of Us also has its own action scenes, hence the criticism from the purists of this kind of game. But can we really be skeptical when facing the nicest game of this generation of consoles ? No, we cant...",ps3,2013-06-05,95
EGM,"It’s easy to initially expect The Last of Us to be a game about killing zombies, surviving in a post-apocalyptic world, and exploring for supplies. Instead, it’s a game about two people, and the bond that forms between them—and that journey is far more exciting than any amount of infected monsters or food scavenging could ever provide.",ps3,2013-06-05,95
Game Informer,"The Last of Us is a deeply felt, shockingly violent game that questions what we're willing to sacrifice and, more disturbingly, what we're willing to do so save the ones we love. The conclusion offers no easy answers. You won't forget it.",ps3,2013-06-05,95
PlayStation Universe,"A thrilling, cinematic, movie-like action-adventure with the best videogame pairing ever conceived.",ps3,2013-06-05,95
XGN,"In the developer of The Last of Us, Naughty Dog, we find the king of action-adventurers more and more. Its last game brings us storytelling that is as endearing and emotional as it gets. A definite must-play for every gamer worldwide.",ps3,2013-06-05,90
The Escapist,"The characters in The Last of Us are relatable without being entirely stereotypical, the story is driven by the characters, rather than the reverse, and the adventure sections, while nothing new mechanically, offer a great way to really delve into the world. Given the lack of truly innovative mechanics, and the reliance on well-known types of gameplay, like the all-too-typical ""find a ladder to climb to the next section"" adventuring bits, The Last of Us isn't perfect, but it's awfully close.",ps3,2013-06-05,90
Metro GameCentral,"A stunning achievement in both storytelling and third person adventure, with unforgettable characters and tense, brilliantly paced action.",ps3,2013-06-05,90
IGN Italia,"Naughty Dog managed to create a different kind of action game, one with a more dramatic, desperate and authentic tone than Uncharted. Joel and Ellie offer you a journey you won't forget, just bring lots of bullets and keep your head down.",ps3,2013-06-05,90
The Globe and Mail (Toronto),"The Last of Us has perhaps the best artificial intelligence I’ve ever seen in a game. The enemies, whether they are mindless zombies or clever human ""hunters,"" behave in amazingly realistic ways, forcing the player to think up equally smart strategies in each encounter.",ps3,2013-06-05,90
games(TM),"It’s the relationships that really make The Last Of Us. It’s a technical marvel, a true triple-A with best-in-show production values, but it’s the beautiful combination of performance and story that elevates it clearly above the competition.",ps3,2013-06-05,90
GamesBeat,"The pacing becomes somewhat sluggish right before you hit the final act, but from there it moves at a 100 miles an hour. I didn’t leave my couch until well after the credits rolled.",ps3,2013-06-05,90
Gamer.no,"Naughty Dog has created a exciting and emotional adventure, packed with a great cast of characters, impressive voice acting and beautiful visuals. A varied selection of enemies offers a diverse challenge, and you often have to change strategies to get by without using up your resources. The multiplayer is functional and well done, but is eclipsed by the amazing single player adventure.",ps3,2013-06-05,90
Gamereactor Denmark,"The Last of Us is a stable and very decent action game, wrapped in an absolutely incredible presentation and story. When it comes to the narrative, The Last of Us sets a new golden standard that every game will be compared to for years to comes. It honestly feels as if Naughty Dog has raised the bar of what games as a medium are able to achieve in this area, and makes franchises like Call of Duty and all its wannabes seem decidedly laughable.",ps3,2013-06-05,90
NowGamer,"A brilliant and evocative story, superb combat mechanics and an interesting multiplayer component, The Last Of Us is one of this generation's best.",ps3,2013-06-05,85
GameSpot,"Despite the many small problems in combat, there's an undeniable tension. Vanquishing a horde of attackers is challenging, so you must fight intelligently.",ps3,2013-06-05,80
Toronto Sun,"Despite the occasional jarring juxtaposition between its story and its gameplay, The Last of Us is a landmark piece of interactive entertainment, proving that even action games can tell mature, thoughtful tales, with characters who don’t feel like an assortment of tropes and clichés.",ps3,2013-06-05,80
Polygon,"Naughty Dog commits to a somber tone that affects every piece of the game for better and worse. It achieves incredible emotional high points about as often as it bumps up against tired scenario design that doesn't fit its world. Survival in the post-apocalypse requires compromise, but The Last of Us has given up something vital.",ps3,2013-06-05,75
Cubed3,"A post-apocalyptic road trip that offers a fantastic, riveting experience, where destruction and beauty, and hope and despair, get entwined in a way that’s nothing short of genius, The Last of Us is so good that its somewhat repetitive, and occasionally dull gameplay isn’t enough to rob it of its rightful place amongst the video game greats. Therefore, if looking for an unforgettable action-adventure, with strong cinematic sensibilities, and a heavy emphasis in adult, character-driven storytelling, look no further than Naughty Dog’s classic, especially now that the remastered version has made the original even more stunning.",ps4,2020-07-28,90
,"Visual improvements and three included DLCs don’t justify buying this game again, but if you haven’t played it on PS3 yet, you’re in for long hours of valuable entertainment. [Sept 2014, p.59]",ps4,2014-10-22,80
,One of the best titles of the previous generation is now available in all the next-gen glory and also with all the DLCs. Take it or leave it. [Issue#245],ps4,2014-10-13,100
,"For the most part, the mind-blowing experience you remember with true new-gen visuals. No PS4 library is complete without this. [October 2014, p70]",ps4,2014-09-19,100
Eurogamer Portugal,"The Last of Us is one of the easiest games to recommend to any player, from the ones who like to occasionally play to the hardcore that want to explore everything. The release of The Last of Us: Remastered makes its acquisition even more attractive game and remembers those who have not played that it’s not too late to know this landmark in video game history.",ps4,2014-09-05,100
,"PlayStation 4 makes The Last of Us look better than ever. The touching storyline, the excellent game design and the beautiful visuals ensure that this last-gen masterpiece is also one of the best entries so-far for the next-gen. [Sept 2014]",ps4,2014-09-05,90
,"A refreshed classic that remains as vital as ever thanks to a beautifully crafted port. [Sept 2014, p.99]",ps4,2014-08-26,100
,"A touch less impactful now, but one of last year's highlights is still of 2014's best games. [Oct 2014, p.61]",ps4,2014-08-24,92
Softpedia,"Naughty Dog worked hard to improve the textures seen in the PS3 game, not to mention the character models, the animations, and much more.",ps4,2014-08-22,95
,"It's the best version available of what is arguably Playstation 3's best game and The Last Of Us remains every bit as dramatic, powerful and engaging as it was when first released. Still incredible. [Issue#247, p.59]",ps4,2014-08-21,94
InsideGamer.nl,"The Last of Us Remastered honors its own name. It runs more smoothly, is prettier and has more content. The technical improvements and the Photo Mode make sure that The Last of Us comes into its own even more, while Left Behind on PlayStation 3 already proved that downloadable content can be of value. The small imperfections are still here and it’s unfortunate that the PlayStation 4 isn’t pushed to the limit. Despite all this, Remastered is the best version of an already incredible game.",ps4,2014-08-20,95
Gamer.nl,"For those who couldn’t wait to play the best PlayStation 3 game on Sony’s newest console, we’ve got some good news: The Last of Us Remastered is beautifully crafted and polished. Remastered is a complete package with touched up graphics, while the game’s core remains as brilliant as ever.",ps4,2014-08-20,95
ZTGD,"Players who missed this on the PS3 will find a lot to like here, but for those who have already completed it I doubt the graphical upgrade is worth another play through.",ps4,2014-08-18,90
Games.cz,"A dramatic and emotional story of a post-apocalyptic world is mixed with a brutal straightforward shooter, where a number of corpses goes into hundreds. Now with the prettier graphics and more content than ever before. It is a technologically successful remaster for PlayStation 4 owners who do not want to buy the older console just to get one game.",ps4,2014-08-18,80
Slant Magazine,"A next-gen playthrough, with the graphical beauty cranked to its highest, and divorced of all other critical noise reveals a game that doesn't break new ground, but very much tries to reach perfection with the tools Naughty Dog and the industry as a whole, really, are all very well aware of.",ps4,2014-08-17,80
Telegraph,"That the action in The Last of Us stays contextual to its narrative and characters is no mean feat either, no cognitive dissonance here, and the lines between the game and its story are usually non-existent. And it is a fabulous story, riffing on Cormac McCarthy and other bleak post-apocalyptic fiction but keeping its own identity through its characters.",ps4,2014-08-15,100
CalmDownTom,"Not only is The Last of Us technically brilliant, it has little things that just drag you further into the world. They are by no means important to the progression of the story of the game but the make the character seem more human and less one dimensional.",ps4,2014-08-15,100
Gaming Nexus,"With far too many action segments and repetitive puzzles, this survival action game gets bogged down by filler. Thankfully the strong last act and great chemistry between leads makes this a must-play, warts and all.",ps4,2014-08-13,85
The Digital Fix,"The Last Of Us Remastered absolutely deserves a place in your PlayStation 4 collection, despite whether you’ve played it before or not. The improvements this remaster brings only helps to show you how much of an incredible, beautiful, emotional and downright amazing game this is.",ps4,2014-08-08,100
Gamereactor Denmark,"Even if the Remastered version only really adds improves textures and better framerate, The Last of Us remains one of the greatest games in recent years. It’s a must-have for any PS4 owners who didn’t play the original, and well-worth replaying for those who did.",ps4,2014-08-06,100
EGM,"While The Last of Us was one of the PS3’s most impressive, engrossing releases, The Last of Us: Remastered feels like the version of Naughty Dog’s post-apocalyptic story of survival that the developer always intended us to play. Its story and characters are just as strong as they were before, but they’re now reinforced by far more amazing visuals, consistent framerate, and a nice selection of new bonus features and DLC inclusions.",ps4,2014-08-06,95
DarkZero,"If you have yet to play The Last of Us, and you own a PlayStation 4, I can fully whole heartily say go buy this game, because you’re in for a memorable time. For fans, this is one you might want to pick up if you want to play the game at its best.",ps4,2014-08-04,100
Impulsegamer,The Last of Us Remastered Edition enhances an already perfect game on the PlayStation 3 to something even more powerful on the PS4.,ps4,2014-08-04,100
GamingTrend,"The Last of Us is truly the game of a generation, and the Remastered edition brings the harrowing adventure to a whole new generation with expert style.",ps4,2014-08-04,95
4Players.de,The Last of Us remains a masterpiece. And on PS4 you get the complete story experience on one disc.,ps4,2014-08-04,93
IGN Italia,"Naughty Dog's masterpiece is a must have for every PS4-owner that missed the game one year ago. But if you already met Joel and Ellie on PS3, think twice.",ps4,2014-08-04,90
Push Square,"Of course, the onboard add-on packs and smattering of superfluous extras ensure that this is the definitive edition of an already outstanding affair – but, unsurprisingly, it’s the touching tale at the heart of the package that once again sets it apart from its peers.",ps4,2014-08-03,100
PSX Extreme,"Saying The Last Of Us: Remastered is an absolute triumph seems redundant. I said it when the original released last year, after all. And yeah, it's basically the same game with a glossier coating and a few additions. But consider: What have we seen in the last 15 months or so that even comes close? Seriously?",ps4,2014-08-02,100
Game Revolution,"While I’d rather not see a sequel, you should know that this Remastered version basically puts a T-ball stand in Sony’s living room where they’ve now started selling bats. Depending on the level of broken the company's biggest Bravia display could become given that scenario, I'd say the brand is worth a lot of money at the moment.",ps4,2014-08-01,100
God is a Geek,"Despite some decent titles on Sony’s new machine, you can’t deny the quality of Naughty Dog’s masterpiece. Even the staunchest of advocates that want original experiences on their new console will struggle to find much wrong with The Last of Us.",ps4,2014-08-01,100
COGconnected,"Already a masterpiece, an upgraded Last of Us was going to be a win, but with the also brilliant Left Behind included as well as the resurgence of the multiplayer and the bonus featurettes, the remastered version is the best thing out right now.",ps4,2014-08-01,100
Digital Chumps,The Last of Us finds a very appropriate home on the PS4.,ps4,2014-08-01,94
Critical Hit,One of the games on the PlayStation is now one of the best games on the PlayStation 4.,ps4,2014-08-01,84
PlayStation Universe,"Naughty Dog gives PlayStation gamers a second, definitive chance to experience one of the greatest video game stories. The Last of Us Remastered's additional content, visual enhancements, and improved performance leave very little standing in the way of a perfect encore.",ps4,2014-07-31,95
JeuxActu,"Do you need to get The Last of Us Remastered? Yes, if you didn't get the opportunity to play this PS3 masterpiece. The game enjoys the power of the PS4 without any trouble in very high resolution. The 60fps argument hits its target too, just like the price tag. But if you've already been there, no need to open your wallet, as this Remastered version doesn't bring anything new enough to put 50 euros on it.",ps4,2014-07-31,95
Toronto Sun,"It’s tough to recommend for PS3 players who have already played the game, as the $55 price is a bit steep for some enhanced visuals and a bit of added content. But PlayStation 4 owners who haven’t yet experienced The Last of Us absolutely owe it to themselves to pick up this modern classic, and take a journey with Joel and Ellie across the heartbreakingly beautiful ruins of our world.",ps4,2014-07-31,90
XGN,"The Last of Us: Remastered is an enhanced edition of the succesfull game, exclusively for PlayStation 4. The remastered graphics, especially the improved ambiance and lighting, are a great asset to this game and make it a must-have for every PlayStation 4 owner, especially if you haven't played it yet.",ps4,2014-07-31,90
GRYOnline.pl,"The Last of Us for the PS4 is a perfect game for all people who haven't had the opportunity to get acquainted with it before. It's probably the best game available for this piece of hardware - great story, engaging gameplay and impressive technology. But if you know The Last of Us, you have nothing new to look for, except shiny graphics. And that's not really THAT important, is it?",ps4,2014-07-31,90
LevelUp,"While it may not seem like much, 1080p resolution and 60 fps are very welcome improvements for a nearly perfect game. Naughty Dog managed to do a flawless technical adaptation for the PlayStation 4. We would have loved a bit more extra content, but we can't complain, as the game already is one of the best ever created for a Sony platform.",ps4,2014-07-30,100
Eurogamer Germany,"The heart-rending story isn`t romanticizing nor does it drift into the pathos other, less subtle games so often lean towards. That's the line where good craftsmanship becomes art, and an excellent game.",ps4,2014-07-30,100
Digitally Downloaded,"In the end I came to the same conclusion now that I did back then: I had fun with the game itself, but it was the narrative that will no doubt be what sticks with me for some time.",ps4,2014-07-30,100
PlayStation LifeStyle,The Last of Us Remastered is just a perfect game made even more perfect.,ps4,2014-07-30,100
Digital Spy,"It features a superb plot, contains at least one piece of essential DLC and looks absolutely stunning, making it an essential purchase for newcomers and one to consider for fans of the original.",ps4,2014-07-30,100
NZGamer,"What should really sweeten the deal for PS4 owners is the Remastered version of The Last of Us also includes the follow-up downloadable content, such as Ellie’s prequel chapter titled Left Behind. Which easily adds another two or three hours to the length of gameplay and expands on the riveting character developments.",ps4,2014-07-30,98
Hardcore Gamer,"This is one of the best console ports in recent history, as it manages to fully capture the spirit of the original while improving upon it in nearly every way.",ps4,2014-07-30,90
Gamer.no,"Except for the Left Behind DLC, none of the other additions actually add to the experience. The game is just as good as it always has been, but with improved graphics being the only real selling point, the package is not enough for a second buy.",ps4,2014-07-30,70
Gaming Age,"As for recommending the game to PS4 owners, it's pretty obviously worth checking out — most definitely for those who skipped out on the PS3 version for whatever reason.",ps4,2014-07-29,100
GameOver.gr,"The Last of Us remains one of the most important games of the decade. It's a pinnacle in storytelling, an emotional journey and a great game overall. The same goes for the PS4 version, even though it has nothing new to offer besides the upgrade in its resolution.",ps4,2014-07-29,100
LaPS4,"A must have for those who couldn't play it on PS3. Intense, violent and emotional, Joel and Ellie's tale is as stunning as a year ago. Visual improvements and extra content are the only incentives those who played the original will find, and the reason they will have to think it's worth buying PS4's version.",ps4,2014-07-29,95
Cheat Code Central,"Simply put, The Last of Us: Remastered is just better than the PS3 version.",ps4,2014-07-29,90
Level7.nu,"The Last of Us Remastered is better than the original in every single way, although the improvement doesn’t really enhance the experience all that much. If you have completed it already you can skip this version, but if you’ve missed out the adventure before you’re in a for a big treat.",ps4,2014-07-29,80
Gameblog.fr,"The Last of Us Remastered on PS4 is still the fantastic game it used to be on PS3, with all the DLC and enhanced graphics and animations. If you missed it last year, that's definitely a must-buy.",ps4,2014-07-28,100
DarkStation,"Even if you’ve played The Last of Us, owning one of the best games of the last ten years in all its 1080p glory is worth the price of admission.",ps4,2014-07-28,100
Meristation,"The Last of Us: Remastered is a complete GOTY Edition. It includes all DLC for Multiplayer, the amazing Left Behind, extended making of, cinematics commentary track, and more. Graphically, Naughty Dog studio sets a new standard in remasters. A masterpiece and its best version.",ps4,2014-07-28,100
Everyeye.it,"1080p and 60fps (with rare drops). Better textures and shadows. But in the end, the most exciting part of this masterpiece is still the plot, the emotions and the tears. And one year after its original release, everything is still there to surprise you.",ps4,2014-07-28,100
VideoGamer,"The best version of one of the last generation's best games. Those expecting it to look totally 'next-gen' may be disappointed, as even at its peak it resembles a last-generation game being played at Ultra settings on PC. Still, it's obvious a lot of work and care has gone into this, and it will please both newcomers and old fans alike.",ps4,2014-07-28,100
Game Informer,"Like the best visual updates, Remastered plays like you remember it. If you played 2013's Game of the Year near release and have been dying to return to the dark tale, then this is a great opportunity. If you never played The Last of Us at all, this is absolutely the way to do it. But be careful - you'll never want to go back to the PS3 original again after reveling in all the improvements.",ps4,2014-07-28,100
GamesRadar+,"The Last of Us remains a must-play, genre-defining action survival game, and the Remastered version brings with it plentiful tweaks and additional content that make it well worth the asking price.",ps4,2014-07-28,100
IGN,"It’s as much a masterpiece on PS4 as it is on PS3, and it’s worth your undivided attention whether you’ve played it already or are about to jump in for the first time.",ps4,2014-07-28,100
3DJuegos,"If you didn't play it on PS3, this is definitely one the best second chances of your life. A must have for adventurers and gamers in general.",ps4,2014-07-28,95
Vandal,"No matter if on PS3 or on PS4, The Last of Us is an experience you have to live. Obviously, if you have the chance of doing it with an improved version, with better visuals, extras and so on, the choice seems clear.",ps4,2014-07-28,95
Gameplanet,"The Last of Us Remastered is a better-looking, better performing version of an already incredible game. As such, those who haven't played the original version should buy immediately, and those that have probably should as well.",ps4,2014-07-28,95
Multiplayer.it,The remastered edition of The Last of Us is simply perfect.,ps4,2014-07-28,95
Merlin'in Kazanı (Turkey),"The Last of Us: Remastered is a GOTY Edition. But, if you are expecting 'next-gen' graphics, you may be disappointed. After all, you can play The Last of Us with 1080p and 60FPS. It's the most important part of Remastered Edition.",ps4,2014-07-28,94
The Escapist,"With its improved detail, better draw distance, and slick 60fps presentation, The Last of Us Remastered is a beautiful update to a beautiful game. It is, however, a re-release of a game that isn't very old to begin with, and that bears taking into account.",ps4,2014-07-28,90
Eurogamer Italy,"After 13 months The Last of Us is still impressive. This Remastered edition is the perfect deal for those who have never played Naughty Dog's game, but it doesn't offer anything more to PS3 fans.",ps4,2014-07-28,90
SpazioGames,"This edition is a must-have only for those who have never had the opportunity to play the game on PS3 and own a PS4. All others can rekindle their old console. Despite this, The Last of Us Remastered is an excellent version of a masterpiece.",ps4,2014-07-28,90
USgamer,"There's not really enough distance between the PS3 version of The Last of Us and this new Remaster to make it worth double-dipping, unless you're simply that fixated on counting lines of resolution. If you missed out the first time around, though, you really shouldn't let it slip past again.",ps4,2014-07-28,90
Metro GameCentral,"Still a stunning achievement in both storytelling and third person adventure, and although this is the definitive version the differences are still minor.",ps4,2014-07-28,90
GameSpot,"The Last of Us is a great action game that you should play if you haven't already. And if you have played it before, the improvements here aren't so dramatic as to make the game feel like a new experience, but it is definitely one worth revisiting. In the world of The Last of Us, as in our own world, love might destroy you, but it's also one of the only things worth fighting for.",ps4,2014-07-28,80
